Iteration,Encryption Time,Decryption Time
0, 3552, 3558
1, 3556, 3559
2, 3553, 3557
3, 3556, 3560
4, 3553, 3556
5, 3556, 3559
6, 3554, 3557
7, 3556, 3559
8, 3553, 3557
9, 3556, 3560
10, 3553, 3556
11, 3557, 3559
12, 3554, 3556
13, 3557, 3560
14, 3553, 3557
15, 3557, 3559
16, 3554, 3557
17, 3556, 3560
18, 3554, 3559
19, 3556, 3559
20, 3554, 3560
21, 3555, 3556
22, 3554, 3559
23, 3556, 3556
24, 3553, 3559
25, 3556, 3556
26, 3556, 3559
27, 3556, 3557
28, 3556, 3559
29, 3553, 3556
30, 3556, 3559
31, 3554, 3557
32, 3557, 3559
33, 3553, 3556
34, 3557, 3560
35, 3553, 3557
36, 3556, 3559
37, 3554, 3557
38, 3556, 3559
39, 3553, 3556
40, 3556, 3559
41, 3553, 3559
42, 3556, 3557
43, 3554, 3559
44, 3556, 3557
45, 3553, 3560
46, 3557, 3556
47, 3553, 3559
48, 3555, 3556
49, 3555, 3559
50, 3556, 3557
51, 3556, 3560
52, 3554, 3557
53, 3557, 3559
54, 3553, 3557
55, 3556, 3559
56, 3553, 3557
57, 3556, 3559
58, 3553, 3556
59, 3557, 3560
60, 3554, 3557
61, 3556, 3560
62, 3554, 3560
63, 3556, 3559
64, 3554, 3559
65, 3556, 3557
66, 3554, 3559
67, 3556, 3557
68, 3553, 3559
69, 3557, 3556
70, 3553, 3560
71, 3556, 3557
72, 3555, 3559
73, 3553, 3556
74, 3556, 3559
75, 3554, 3556
76, 3556, 3560
77, 3554, 3557
78, 3557, 3560
79, 3554, 3557
80, 3556, 3559
81, 3553, 3556
82, 3556, 3560
83, 3553, 3556
84, 3557, 3560
85, 3554, 3560
86, 3556, 3559
87, 3554, 3560
88, 3555, 3556
89, 3553, 3560
90, 3556, 3557
91, 3553, 3560
92, 3556, 3556
93, 3557, 3560
94, 3557, 3557
95, 3556, 3559
96, 3554, 3557
97, 3557, 3559
98, 3553, 3557
99, 3557, 3559
100, 3553, 3557
101, 3556, 3559
102, 3553, 3556
103, 3556, 3559
104, 3554, 3559
105, 3556, 3556
106, 3557, 3560
107, 3553, 3557
108, 3556, 3559
109, 3554, 3557
110, 3556, 3559
111, 3554, 3559
112, 3556, 3556
113, 3556, 3559
114, 3554, 3557
115, 3557, 3560
116, 3553, 3555
117, 3557, 3560
118, 3553, 3559
119, 3556, 3556
120, 3554, 3559
121, 3556, 3557
122, 3556, 3559
123, 3554, 3557
124, 3556, 3559
125, 3554, 3557
126, 3556, 3560
127, 3554, 3559
128, 3556, 3556
129, 3556, 3559
130, 3554, 3557
131, 3556, 3559
132, 3554, 3557
133, 3556, 3559
134, 3553, 3559
135, 3556, 3557
136, 3554, 3560
137, 3557, 3556
138, 3555, 3559
139, 3553, 3556
140, 3556, 3559
141, 3553, 3557
142, 3556, 3559
143, 3553, 3559
144, 3557, 3557
145, 3556, 3559
146, 3554, 3557
147, 3557, 3560
148, 3554, 3556
149, 3556, 3559
150, 3554, 3559
151, 3556, 3557
152, 3556, 3559
153, 3553, 3556
154, 3556, 3559
155, 3554, 3557
156, 3556, 3560
157, 3553, 3560
158, 3556, 3556
159, 3553, 3560
160, 3556, 3556
161, 3556, 3559
162, 3553, 3556
163, 3556, 3559
164, 3553, 3557
165, 3556, 3559
