Iteration,Encryption Time,Decryption Time
0, 440, 491
1, 443, 489
2, 443, 489
3, 441, 492
4, 440, 492
5, 443, 489
6, 441, 489
7, 440, 492
8, 444, 489
9, 444, 489
10, 441, 492
11, 441, 492
12, 444, 489
13, 440, 492
14, 441, 492
15, 444, 489
16, 441, 489
17, 441, 492
18, 443, 490
19, 444, 489
20, 441, 492
21, 444, 489
22, 444, 489
23, 441, 492
24, 441, 492
25, 443, 489
26, 441, 492
27, 441, 492
28, 443, 489
29, 441, 492
30, 441, 492
31, 443, 489
32, 441, 489
33, 441, 492
34, 443, 489
35, 443, 489
36, 440, 492
37, 443, 489
38, 443, 489
39, 441, 492
40, 441, 491
41, 444, 489
42, 440, 492
43, 440, 491
44, 443, 489
45, 440, 492
46, 441, 492
47, 443, 489
48, 441, 489
49, 441, 492
50, 443, 489
51, 441, 489
52, 441, 492
53, 443, 489
54, 444, 489
55, 441, 492
56, 443, 489
57, 443, 490
58, 441, 492
59, 441, 492
60, 444, 489
61, 441, 492
62, 441, 492
63, 443, 489
64, 440, 492
65, 441, 492
66, 444, 489
67, 440, 490
68, 441, 492
69, 444, 489
70, 443, 489
71, 440, 491
72, 443, 490
73, 443, 489
74, 441, 492
75, 440, 492
76, 444, 489
77, 441, 492
78, 441, 492
79, 444, 489
80, 440, 492
81, 441, 492
82, 443, 490
83, 441, 489
84, 441, 492
85, 443, 489
86, 443, 489
87, 441, 492
88, 443, 489
89, 443, 490
90, 441, 492
91, 441, 492
92, 444, 489
93, 440, 491
94, 441, 492
95, 443, 489
96, 441, 492
97, 441, 492
98, 443, 489
99, 441, 489
100, 441, 492
101, 444, 489
102, 441, 492
103, 441, 492
104, 443, 489
105, 440, 492
106, 440, 492
107, 444, 489
108, 441, 492
109, 441, 489
110, 443, 489
111, 441, 492
112, 444, 489
113, 443, 489
114, 440, 492
115, 443, 490
116, 441, 489
117, 440, 491
118, 443, 489
119, 441, 492
120, 440, 492
121, 444, 489
122, 440, 492
123, 441, 492
124, 444, 489
125, 440, 492
126, 443, 489
127, 444, 489
128, 440, 492
129, 443, 490
130, 441, 489
131, 441, 492
132, 444, 489
133, 441, 492
134, 441, 492
135, 443, 490
136, 441, 492
137, 441, 492
138, 444, 489
139, 441, 492
140, 444, 489
141, 444, 489
142, 441, 492
143, 443, 489
144, 444, 489
145, 440, 492
146, 443, 489
147, 441, 489
148, 441, 492
149, 444, 489
150, 441, 492
151, 440, 492
152, 443, 490
153, 441, 491
154, 440, 492
155, 444, 489
156, 441, 492
157, 443, 489
158, 443, 490
159, 441, 492
160, 444, 489
161, 441, 489
162, 440, 492
163, 443, 489
164, 440, 491
165, 441, 492
166, 444, 489
167, 440, 492
168, 441, 492
169, 443, 489
170, 440, 492
171, 444, 489
172, 443, 490
173, 441, 492
174, 444, 489
175, 443, 490
176, 441, 492
