Iteration,Encryption Time,Decryption Time
0, 605, 659
1, 605, 659
2, 605, 659
3, 605, 659
4, 605, 659
5, 605, 659
6, 605, 659
7, 605, 658
8, 605, 659
9, 605, 659
10, 605, 659
11, 605, 659
12, 605, 659
13, 605, 661
14, 605, 661
15, 605, 662
16, 605, 661
17, 605, 661
18, 605, 661
19, 603, 661
20, 603, 661
21, 602, 662
22, 602, 662
23, 603, 661
24, 602, 661
25, 602, 662
26, 602, 661
27, 603, 661
28, 605, 659
29, 605, 658
30, 605, 659
31, 605, 659
32, 605, 659
33, 605, 659
34, 605, 659
35, 605, 659
36, 605, 661
37, 605, 662
38, 605, 661
39, 605, 661
40, 605, 662
41, 605, 661
42, 602, 662
43, 602, 661
44, 602, 662
45, 602, 661
46, 602, 661
47, 602, 661
48, 603, 661
49, 603, 661
50, 602, 662
51, 605, 658
52, 605, 659
53, 605, 659
54, 605, 659
55, 605, 659
56, 605, 658
57, 605, 658
58, 605, 658
59, 605, 661
60, 605, 661
61, 605, 661
62, 605, 661
63, 605, 661
64, 605, 662
65, 605, 661
66, 602, 662
67, 603, 661
68, 602, 661
69, 603, 661
70, 602, 661
71, 602, 662
72, 603, 661
73, 602, 662
74, 602, 662
75, 605, 659
76, 605, 659
77, 605, 659
78, 605, 659
79, 605, 658
80, 605, 659
81, 605, 659
82, 605, 659
83, 605, 662
84, 605, 661
85, 605, 662
86, 605, 661
87, 605, 662
88, 605, 661
89, 603, 661
90, 603, 661
91, 602, 661
92, 603, 661
93, 602, 662
94, 602, 662
95, 602, 661
96, 603, 661
97, 602, 662
98, 605, 659
99, 605, 659
100, 605, 659
101, 605, 659
102, 605, 658
103, 605, 661
104, 605, 661
105, 605, 661
106, 605, 662
107, 603, 661
108, 602, 661
109, 603, 661
110, 603, 661
111, 605, 659
112, 605, 658
113, 605, 658
114, 605, 658
115, 605, 662
116, 605, 661
117, 605, 661
118, 602, 662
119, 602, 662
120, 602, 662
121, 603, 661
122, 602, 661
123, 605, 659
124, 605, 658
125, 605, 658
126, 605, 658
127, 605, 662
128, 605, 661
129, 605, 662
