Iteration,Encryption Time,Decryption Time
0, 3553, 3556
1, 3554, 3557
2, 3554, 3560
3, 3556, 3559
4, 3556, 3559
5, 3556, 3560
6, 3553, 3556
7, 3554, 3557
8, 3554, 3560
9, 3556, 3559
10, 3556, 3559
11, 3556, 3557
12, 3553, 3556
13, 3553, 3559
14, 3555, 3559
15, 3556, 3559
16, 3553, 3556
17, 3553, 3556
18, 3557, 3560
19, 3556, 3560
20, 3556, 3559
21, 3554, 3557
22, 3553, 3556
23, 3557, 3560
24, 3556, 3560
25, 3557, 3560
26, 3554, 3557
27, 3554, 3557
28, 3556, 3559
29, 3557, 3560
30, 3556, 3557
31, 3554, 3557
32, 3554, 3557
33, 3557, 3560
34, 3556, 3559
35, 3553, 3556
36, 3553, 3557
37, 3557, 3560
38, 3556, 3559
39, 3556, 3559
40, 3554, 3557
41, 3553, 3556
42, 3556, 3560
43, 3557, 3560
44, 3556, 3559
45, 3554, 3557
46, 3554, 3557
47, 3556, 3559
48, 3556, 3560
49, 3556, 3556
50, 3553, 3557
51, 3553, 3557
52, 3556, 3559
53, 3556, 3559
54, 3553, 3556
55, 3554, 3557
56, 3554, 3559
57, 3557, 3560
58, 3555, 3559
59, 3553, 3557
60, 3553, 3556
61, 3556, 3559
62, 3556, 3559
63, 3556, 3559
64, 3553, 3556
65, 3554, 3557
66, 3556, 3560
67, 3556, 3559
68, 3556, 3559
69, 3554, 3557
70, 3554, 3557
71, 3556, 3559
72, 3556, 3560
73, 3553, 3556
74, 3554, 3557
75, 3553, 3559
76, 3556, 3559
77, 3556, 3559
78, 3553, 3557
79, 3554, 3557
80, 3557, 3560
81, 3556, 3559
82, 3556, 3560
83, 3554, 3557
84, 3553, 3557
85, 3556, 3559
86, 3556, 3559
87, 3556, 3560
88, 3554, 3557
89, 3554, 3557
90, 3557, 3560
91, 3557, 3560
92, 3556, 3556
93, 3553, 3557
94, 3553, 3559
95, 3557, 3559
96, 3556, 3559
97, 3553, 3557
98, 3554, 3556
99, 3557, 3560
100, 3557, 3560
101, 3556, 3559
102, 3554, 3557
103, 3554, 3560
104, 3556, 3559
105, 3556, 3560
106, 3553, 3557
107, 3553, 3559
108, 3557, 3559
109, 3556, 3559
110, 3553, 3556
111, 3554, 3559
112, 3556, 3559
113, 3557, 3560
114, 3553, 3556
115, 3553, 3559
116, 3556, 3560
117, 3557, 3559
118, 3554, 3557
119, 3556, 3559
120, 3556, 3559
121, 3556, 3560
122, 3553, 3557
123, 3556, 3559
124, 3557, 3560
125, 3556, 3557
126, 3553, 3557
127, 3557, 3560
128, 3557, 3560
129, 3556, 3556
130, 3554, 3557
131, 3556, 3559
132, 3556, 3559
133, 3556, 3556
134, 3554, 3556
135, 3556, 3559
136, 3556, 3560
137, 3556, 3556
138, 3553, 3557
139, 3556, 3559
140, 3556, 3559
141, 3556, 3556
142, 3553, 3557
143, 3557, 3559
144, 3557, 3560
145, 3556, 3556
146, 3553, 3556
147, 3556, 3559
148, 3556, 3560
149, 3556, 3557
150, 3553, 3557
151, 3557, 3560
152, 3557, 3560
153, 3553, 3556
