Iteration,Encryption Time,Decryption Time
0, 3999, 4002
1, 3998, 4001
2, 3999, 4002
3, 3999, 4001
4, 3999, 4003
5, 3999, 4002
6, 3998, 4001
7, 3998, 4003
8, 3999, 4002
9, 3998, 4002
10, 3998, 4002
11, 3999, 4002
12, 3999, 4002
13, 3999, 4002
14, 3999, 4002
15, 3998, 4001
16, 3999, 4002
17, 3998, 4001
18, 3999, 4002
19, 3999, 4002
20, 3999, 4002
21, 3998, 4001
22, 3999, 4002
23, 3998, 4001
24, 3998, 4001
25, 3999, 4002
26, 3998, 4002
27, 3999, 4002
28, 3999, 4002
29, 3999, 4002
30, 3999, 4002
31, 3999, 4002
32, 3999, 4003
33, 3998, 4002
34, 3999, 4002
35, 3999, 4002
36, 3998, 4002
37, 3999, 4002
38, 3999, 4002
39, 3999, 4002
40, 3998, 4002
41, 3999, 4002
42, 3998, 4002
43, 3998, 4002
44, 3998, 4001
45, 3999, 4002
46, 3999, 4002
47, 3999, 4002
48, 3998, 4002
49, 3998, 4002
50, 3999, 4002
51, 3998, 4002
52, 3999, 4002
53, 3998, 4002
54, 3998, 4002
55, 3999, 4003
56, 3999, 4002
57, 3999, 4002
58, 3998, 4002
59, 3998, 4002
60, 3999, 4002
61, 3999, 4002
62, 3998, 4002
63, 3999, 4002
64, 3999, 4002
65, 3999, 4002
66, 3998, 4001
67, 3999, 4002
68, 3999, 4002
69, 3999, 4002
70, 3999, 4002
71, 3998, 4001
72, 3998, 4002
73, 3999, 4002
74, 3999, 4002
75, 3999, 4002
76, 3998, 4002
77, 3999, 4002
78, 3998, 4002
79, 3998, 4003
80, 3999, 4002
81, 3999, 4002
82, 3999, 4002
83, 3999, 4002
84, 3999, 4002
85, 3998, 4002
86, 3998, 4002
87, 3999, 4002
88, 3999, 4002
89, 3998, 4001
90, 3997, 4001
91, 3998, 4002
92, 3999, 4002
93, 3999, 4002
94, 3999, 4002
95, 3999, 4002
96, 3999, 4002
97, 3998, 4002
98, 3999, 4002
99, 3999, 4002
100, 3999, 4002
101, 3998, 4001
102, 3999, 4002
103, 3999, 4002
104, 3998, 4001
105, 3998, 4002
106, 3999, 4002
107, 3999, 4002
108, 3998, 4002
109, 3999, 4002
110, 3999, 4002
111, 3999, 4002
112, 3998, 4002
113, 3999, 4001
114, 3999, 4002
115, 3999, 4003
116, 3999, 4002
117, 3999, 4002
118, 3999, 4002
119, 3998, 4002
120, 3999, 4002
121, 3999, 4002
122, 3998, 4002
123, 3997, 4002
124, 3999, 4003
125, 3999, 4002
126, 3999, 4002
127, 3999, 4002
128, 3999, 4002
129, 3999, 4002
130, 3999, 4002
131, 3999, 4002
132, 3998, 4002
133, 3998, 4001
134, 3999, 4002
135, 3999, 4002
136, 3999, 4002
137, 3998, 4002
138, 3999, 4002
139, 3999, 4002
140, 3998, 4002
141, 3999, 4002
142, 3999, 4002
143, 3999, 4001
144, 3999, 4002
145, 3998, 4002
146, 3999, 4002
147, 3999, 4002
148, 3999, 4002
149, 3999, 4002
150, 3998, 4002
151, 3998, 4002
152, 3999, 4001
153, 3998, 4002
154, 3999, 4002
155, 3999, 4002
156, 3998, 4002
157, 3999, 4002
158, 3999, 4002
159, 3999, 4002
160, 3998, 4001
161, 3999, 4002
162, 3999, 4002
163, 3999, 4001
164, 3998, 4001
165, 3998, 4002
166, 3999, 4002
167, 3999, 4002
168, 3998, 4001
169, 3999, 4002
170, 3999, 4001
171, 3999, 4002
172, 3998, 4002
173, 3999, 4002
174, 3999, 4002
175, 3998, 4001
176, 3999, 4002
177, 3999, 4002
178, 3999, 4002
179, 3999, 4002
180, 3999, 4002
181, 3999, 4002
182, 3999, 4002
183, 3998, 4002
184, 3999, 4002
185, 3999, 4002
186, 3999, 4001
187, 3999, 4002
188, 3999, 4002
189, 3998, 4002
190, 3999, 4002
191, 3999, 4002
192, 3999, 4002
193, 3999, 4002
194, 3998, 4002
195, 3999, 4002
196, 3999, 4002
197, 3999, 4002
198, 3998, 4001
199, 3999, 4002
200, 3999, 4001
201, 3999, 4002
202, 3998, 4001
203, 3998, 4002
204, 3998, 4002
205, 3999, 4002
206, 3999, 4002
207, 3999, 4002
208, 3999, 4002
209, 3998, 4001
210, 3999, 4002
211, 3999, 4002
212, 3999, 4002
213, 3999, 4002
214, 3998, 4002
215, 3998, 4002
216, 3999, 4003
217, 3999, 4002
218, 3999, 4002
219, 3999, 4002
220, 3998, 4002
221, 3999, 4002
222, 3998, 4002
223, 3998, 4002
224, 3998, 4001
225, 3998, 4002
226, 3999, 4002
227, 3998, 4002
228, 3998, 4002
229, 3999, 4002
230, 3999, 4002
231, 3999, 4001
232, 3999, 4002
233, 3999, 4002
234, 3999, 4002
235, 3999, 4002
236, 3998, 4002
237, 3999, 4002
238, 3998, 4001
239, 3999, 4002
240, 3999, 4002
241, 3998, 4002
242, 3999, 4002
243, 3999, 4002
244, 3999, 4001
245, 3998, 4001
246, 3999, 4002
247, 3998, 4003
248, 3998, 4001
249, 3998, 4001
250, 3999, 4002
251, 3999, 4002
252, 3999, 4002
253, 3998, 4001
254, 3999, 4002
255, 3999, 4002
256, 3998, 4002
257, 3998, 4002
258, 3998, 4002
259, 3998, 4002
260, 3999, 4002
261, 3998, 4002
262, 3999, 4002
263, 3999, 4002
264, 3998, 4002
265, 3999, 4002
266, 3999, 4002
267, 3999, 4002
268, 3999, 4002
269, 3998, 4002
270, 3998, 4002
271, 3999, 4002
272, 3998, 4001
273, 3999, 4002
274, 3999, 4002
275, 3998, 4002
276, 3998, 4001
277, 3999, 4002
278, 3999, 4002
279, 3999, 4002
280, 3998, 4002
281, 3999, 4002
282, 3999, 4002
283, 3998, 4002
284, 3998, 4002
285, 3999, 4002
286, 3998, 4001
287, 3998, 4002
288, 3999, 4002
289, 3999, 4002
290, 3999, 4002
291, 3999, 4002
292, 3999, 4002
293, 3999, 4002
294, 3999, 4002
295, 3999, 4001
296, 3999, 4002
297, 3999, 4002
298, 3999, 4002
299, 3999, 4002
300, 3999, 4002
301, 3998, 4002
302, 3998, 4002
303, 3998, 4002
304, 3999, 4002
305, 3998, 4002
306, 3998, 4001
307, 3999, 4002
308, 3999, 4002
309, 3998, 4002
310, 3998, 4002
311, 3999, 4002
312, 3998, 4002
313, 3999, 4002
314, 3999, 4002
315, 3999, 4002
316, 3999, 4002
317, 3998, 4001
318, 3999, 4002
319, 3998, 4002
320, 3999, 4002
321, 3999, 4001
322, 3998, 4001
323, 3998, 4001
324, 3999, 4002
325, 3999, 4002
326, 3999, 4002
327, 3999, 4002
328, 3999, 4002
329, 3999, 4002
330, 3999, 4002
