Iteration,Encryption Time,Decryption Time
0, 438, 483
1, 435, 487
2, 435, 486
3, 438, 483
4, 435, 483
5, 435, 486
6, 437, 484
7, 438, 484
8, 435, 487
9, 435, 486
10, 437, 484
11, 438, 484
12, 435, 486
13, 438, 483
14, 437, 484
15, 435, 486
16, 435, 487
17, 438, 483
18, 435, 487
19, 435, 487
20, 438, 484
21, 435, 486
22, 435, 486
23, 438, 483
24, 435, 484
25, 435, 487
26, 438, 483
27, 438, 483
28, 435, 486
29, 438, 484
30, 438, 483
31, 435, 487
32, 438, 484
33, 438, 484
34, 435, 487
35, 435, 487
36, 438, 484
37, 435, 487
38, 435, 486
39, 438, 484
40, 435, 484
41, 435, 486
42, 438, 483
43, 435, 484
44, 435, 486
45, 437, 484
46, 438, 484
47, 436, 486
48, 437, 484
49, 437, 483
50, 435, 486
51, 435, 486
52, 438, 484
53, 435, 487
54, 435, 486
55, 437, 484
56, 435, 486
57, 435, 487
58, 438, 484
59, 435, 484
60, 435, 486
61, 438, 483
62, 438, 484
63, 435, 487
64, 438, 484
65, 437, 484
66, 436, 486
67, 435, 486
68, 437, 484
69, 435, 487
70, 435, 487
71, 438, 483
72, 435, 486
73, 436, 486
74, 437, 484
75, 435, 484
76, 435, 486
77, 438, 484
78, 438, 483
79, 435, 487
80, 437, 484
81, 438, 484
82, 435, 487
83, 435, 486
84, 438, 483
85, 435, 487
86, 435, 486
87, 438, 484
88, 435, 486
89, 436, 486
90, 438, 484
91, 435, 484
92, 435, 487
93, 438, 484
94, 438, 484
95, 435, 487
96, 438, 483
97, 438, 484
98, 435, 487
99, 438, 484
100, 438, 483
101, 435, 487
102, 438, 483
103, 438, 484
104, 435, 486
105, 437, 484
106, 435, 484
107, 435, 486
108, 438, 484
109, 435, 483
110, 435, 486
111, 438, 484
112, 435, 486
113, 435, 487
114, 438, 484
115, 435, 486
116, 435, 483
117, 438, 484
118, 435, 487
119, 438, 484
120, 438, 483
121, 435, 486
122, 437, 484
123, 435, 484
124, 435, 486
125, 437, 484
126, 435, 486
127, 435, 486
128, 438, 483
129, 435, 486
130, 435, 487
131, 437, 484
132, 435, 487
133, 438, 484
134, 438, 484
135, 435, 487
136, 437, 484
137, 435, 484
138, 435, 486
139, 438, 484
140, 435, 487
141, 435, 487
142, 438, 483
143, 436, 486
144, 435, 486
145, 438, 484
146, 435, 487
147, 438, 483
148, 438, 483
149, 435, 486
150, 438, 483
151, 438, 484
152, 435, 486
153, 437, 484
154, 435, 484
155, 435, 486
156, 438, 484
157, 435, 487
158, 435, 486
159, 438, 483
160, 435, 487
161, 435, 486
162, 438, 484
163, 435, 487
164, 438, 484
165, 438, 484
166, 435, 487
167, 438, 484
168, 435, 484
169, 435, 486
170, 438, 483
171, 435, 486
172, 435, 487
173, 438, 484
174, 435, 486
175, 435, 486
176, 438, 484
177, 435, 486
178, 438, 483
179, 438, 483
180, 435, 487
181, 438, 483
182, 435, 484
183, 435, 487
184, 438, 483
185, 435, 483
186, 435, 486
187, 438, 483
188, 435, 486
189, 435, 487
190, 438, 484
191, 435, 486
192, 435, 486
193, 438, 483
194, 435, 486
195, 437, 484
196, 438, 484
197, 435, 486
198, 438, 483
199, 435, 484
200, 435, 487
201, 437, 484
202, 435, 486
203, 435, 487
204, 438, 483
205, 435, 487
206, 435, 486
207, 438, 483
208, 436, 486
209, 438, 483
210, 438, 484
211, 435, 487
212, 438, 484
213, 435, 483
214, 435, 486
215, 438, 484
216, 436, 486
217, 435, 487
218, 438, 483
219, 435, 486
220, 435, 487
221, 438, 484
222, 435, 487
223, 437, 484
224, 438, 484
225, 435, 486
226, 438, 483
227, 437, 484
228, 435, 486
229, 438, 484
230, 435, 484
231, 435, 487
232, 438, 483
233, 435, 487
234, 435, 486
235, 438, 483
236, 435, 486
237, 435, 487
238, 438, 484
239, 435, 487
240, 438, 483
241, 438, 484
242, 435, 486
243, 438, 484
244, 435, 484
245, 435, 487
246, 438, 483
247, 435, 486
248, 436, 486
249, 438, 484
250, 435, 486
251, 435, 486
252, 438, 483
253, 435, 486
254, 438, 484
255, 438, 484
256, 435, 487
257, 438, 483
258, 438, 483
259, 436, 486
260, 438, 484
261, 435, 484
262, 435, 486
263, 438, 484
264, 435, 487
265, 435, 486
266, 438, 483
267, 436, 486
268, 435, 486
269, 438, 483
270, 435, 487
271, 438, 483
272, 438, 484
273, 435, 486
274, 438, 484
275, 435, 484
276, 435, 486
277, 438, 483
278, 435, 486
279, 435, 487
280, 438, 484
281, 435, 487
282, 435, 486
283, 437, 484
284, 436, 486
285, 437, 484
286, 438, 484
287, 436, 486
288, 438, 483
289, 435, 484
290, 435, 486
291, 438, 484
292, 435, 484
293, 435, 486
294, 438, 484
295, 435, 486
296, 435, 486
297, 438, 484
298, 435, 486
299, 435, 486
300, 438, 484
