Iteration,Encryption Time,Decryption Time
0, 510, 560
1, 512, 558
2, 510, 561
3, 510, 560
4, 513, 558
5, 509, 560
6, 512, 558
7, 509, 561
8, 512, 561
9, 512, 558
10, 509, 561
11, 512, 558
12, 509, 561
13, 509, 561
14, 512, 558
15, 509, 561
16, 512, 558
17, 513, 558
18, 509, 561
19, 512, 558
20, 509, 561
21, 509, 560
22, 512, 558
23, 509, 561
24, 512, 558
25, 513, 558
26, 510, 560
27, 512, 558
28, 509, 561
29, 510, 561
30, 513, 558
31, 509, 560
32, 512, 558
33, 512, 558
34, 510, 560
35, 513, 558
36, 509, 561
37, 510, 561
38, 512, 558
39, 510, 561
40, 512, 558
41, 512, 558
42, 509, 561
43, 512, 558
44, 510, 561
45, 510, 560
46, 512, 558
47, 510, 561
48, 512, 559
49, 512, 558
50, 509, 561
51, 513, 558
52, 509, 561
53, 510, 560
54, 512, 558
55, 510, 561
56, 513, 558
57, 512, 558
58, 509, 561
59, 512, 558
60, 510, 560
61, 510, 560
62, 512, 558
63, 509, 560
64, 512, 561
65, 512, 558
66, 510, 561
67, 512, 558
68, 510, 561
69, 509, 561
70, 513, 558
71, 510, 561
72, 512, 560
73, 512, 558
74, 509, 561
75, 512, 558
76, 510, 561
77, 509, 561
78, 512, 558
79, 510, 560
80, 512, 561
81, 512, 558
82, 509, 561
83, 512, 558
84, 509, 561
85, 510, 560
86, 512, 558
87, 510, 561
88, 512, 560
89, 512, 558
90, 509, 561
91, 512, 558
92, 509, 561
93, 509, 561
94, 512, 558
95, 509, 561
96, 512, 560
97, 512, 558
98, 509, 561
99, 513, 558
100, 510, 561
101, 510, 561
102, 512, 558
103, 510, 560
104, 509, 561
105, 513, 558
106, 510, 561
107, 510, 560
108, 513, 558
109, 509, 561
110, 509, 561
111, 512, 558
112, 510, 560
113, 510, 560
114, 512, 558
115, 509, 558
116, 509, 561
117, 512, 558
118, 512, 558
119, 510, 560
120, 512, 558
121, 512, 558
122, 510, 561
123, 513, 558
124, 512, 558
125, 510, 560
126, 512, 558
127, 512, 558
128, 509, 561
129, 512, 558
130, 512, 558
131, 509, 561
132, 512, 559
133, 512, 558
134, 509, 561
135, 512, 558
136, 512, 558
137, 510, 560
138, 513, 558
139, 512, 558
140, 510, 560
141, 513, 558
142, 513, 558
143, 509, 561
144, 512, 558
145, 513, 558
146, 509, 560
147, 512, 558
148, 513, 558
149, 510, 560
150, 512, 558
151, 512, 558
152, 510, 561
153, 512, 558
154, 512, 558
155, 510, 561
156, 513, 558
157, 512, 558
158, 510, 560
159, 513, 558
160, 512, 558
161, 509, 561
162, 512, 558
163, 512, 558
164, 509, 561
165, 512, 558
166, 512, 558
167, 509, 560
168, 511, 559
169, 513, 558
170, 509, 561
171, 513, 558
172, 512, 558
173, 510, 560
174, 512, 558
175, 512, 558
176, 509, 561
177, 512, 559
178, 512, 558
179, 510, 561
180, 512, 558
181, 512, 558
182, 509, 561
183, 513, 558
184, 512, 558
185, 509, 561
186, 512, 558
187, 512, 558
188, 510, 560
189, 512, 558
190, 513, 558
191, 509, 561
192, 512, 558
193, 512, 558
194, 509, 561
195, 512, 558
196, 512, 558
197, 509, 561
198, 512, 558
199, 512, 558
200, 510, 560
201, 512, 558
202, 512, 558
203, 510, 561
204, 512, 558
205, 512, 558
206, 510, 560
207, 512, 558
208, 512, 558
209, 510, 560
210, 512, 558
211, 512, 558
212, 509, 561
213, 512, 558
214, 512, 558
215, 509, 561
216, 512, 558
217, 512, 558
218, 510, 560
219, 513, 558
220, 513, 558
221, 510, 560
222, 512, 561
223, 512, 558
224, 510, 561
225, 512, 561
226, 512, 558
227, 510, 561
228, 512, 561
229, 512, 558
230, 510, 561
231, 513, 560
232, 512, 558
233, 509, 561
234, 512, 560
235, 512, 558
236, 510, 561
237, 512, 561
238, 512, 558
239, 509, 561
240, 512, 561
241, 512, 558
242, 510, 560
243, 512, 561
244, 512, 558
245, 510, 560
246, 512, 561
247, 512, 558
248, 510, 561
249, 512, 561
250, 513, 558
251, 510, 561
252, 512, 561
253, 512, 558
254, 510, 561
255, 512, 561
256, 512, 558
257, 510, 561
258, 512, 561
259, 512, 558
260, 509, 561
261, 512, 560
262, 513, 558
263, 509, 561
264, 512, 561
265, 512, 558
266, 509, 561
267, 512, 561
268, 513, 558
269, 509, 561
270, 513, 560
271, 512, 558
272, 510, 561
273, 512, 561
274, 512, 558
275, 510, 561
276, 513, 560
277, 512, 558
278, 510, 560
279, 512, 561
280, 512, 558
281, 509, 560
282, 513, 560
283, 512, 558
284, 510, 561
285, 512, 561
286, 512, 558
287, 509, 561
288, 512, 561
289, 512, 559
290, 509, 561
291, 509, 561
292, 513, 558
293, 509, 560
294, 510, 561
295, 512, 558
296, 509, 561
297, 509, 561
298, 512, 558
299, 509, 560
300, 509, 561
301, 512, 558
302, 509, 561
303, 509, 561
304, 512, 558
305, 509, 561
306, 510, 561
307, 512, 559
308, 509, 561
309, 510, 560
310, 512, 558
311, 509, 561
312, 509, 561
313, 512, 558
314, 510, 560
315, 510, 560
316, 513, 558
317, 509, 560
318, 509, 561
319, 513, 558
320, 509, 561
321, 509, 561
322, 512, 558
323, 509, 561
324, 509, 561
325, 512, 558
326, 510, 561
327, 509, 561
328, 512, 558
329, 510, 560
330, 509, 561
331, 512, 558
332, 510, 561
333, 509, 561
334, 512, 558
335, 510, 561
336, 510, 560
337, 512, 559
338, 509, 561
339, 510, 560
340, 513, 558
341, 510, 560
342, 509, 561
343, 512, 558
