Iteration,Encryption Time,Decryption Time
0, 470, 522
1, 473, 519
2, 470, 521
3, 473, 518
4, 470, 522
5, 471, 521
6, 473, 519
7, 471, 521
8, 473, 519
9, 473, 519
10, 470, 522
11, 473, 518
12, 470, 521
13, 473, 519
14, 473, 518
15, 470, 521
16, 473, 518
17, 470, 521
18, 473, 518
19, 470, 522
20, 470, 522
21, 473, 519
22, 470, 521
23, 473, 519
24, 470, 522
25, 472, 519
26, 473, 519
27, 470, 522
28, 473, 519
29, 470, 522
30, 473, 518
31, 470, 521
32, 470, 522
33, 473, 519
34, 470, 522
35, 473, 518
36, 471, 521
37, 473, 519
38, 473, 519
39, 471, 521
40, 473, 519
41, 470, 522
42, 473, 519
43, 470, 521
44, 470, 521
45, 473, 519
46, 470, 521
47, 473, 519
48, 470, 522
49, 473, 519
50, 473, 519
51, 470, 521
52, 472, 519
53, 470, 522
54, 473, 518
55, 470, 521
56, 470, 522
57, 473, 519
58, 470, 522
59, 473, 519
60, 470, 521
61, 473, 519
62, 473, 519
63, 470, 521
64, 473, 519
65, 470, 521
66, 473, 519
67, 470, 522
68, 470, 521
69, 472, 519
70, 470, 522
71, 472, 519
72, 470, 521
73, 473, 519
74, 470, 522
75, 470, 522
76, 473, 519
77, 470, 521
78, 473, 519
79, 470, 522
80, 470, 522
81, 473, 519
82, 470, 521
83, 473, 519
84, 470, 521
85, 473, 519
86, 470, 522
87, 470, 522
88, 473, 519
89, 470, 521
90, 473, 518
91, 470, 522
92, 470, 519
93, 472, 519
94, 470, 521
95, 473, 519
96, 470, 522
97, 473, 518
98, 470, 521
99, 471, 521
100, 473, 519
101, 470, 522
102, 473, 519
103, 470, 522
104, 473, 519
105, 470, 522
106, 473, 518
107, 470, 522
108, 473, 518
109, 470, 519
110, 470, 522
111, 472, 519
112, 470, 522
113, 473, 518
114, 470, 522
115, 473, 519
116, 471, 521
117, 473, 519
118, 470, 522
119, 472, 519
120, 470, 522
121, 470, 522
122, 473, 519
123, 470, 522
124, 473, 519
125, 471, 521
126, 473, 519
127, 470, 521
128, 473, 519
129, 470, 522
130, 473, 518
131, 470, 521
132, 473, 519
133, 470, 521
134, 470, 522
135, 472, 519
136, 470, 522
137, 473, 519
138, 470, 522
139, 472, 518
140, 470, 521
141, 473, 519
142, 470, 521
143, 473, 518
144, 470, 521
145, 473, 518
146, 472, 518
147, 471, 521
148, 472, 519
149, 470, 522
150, 473, 519
151, 470, 522
152, 473, 519
153, 470, 522
154, 473, 519
155, 470, 521
156, 473, 518
157, 470, 522
158, 470, 522
159, 473, 519
160, 470, 522
161, 473, 519
162, 470, 521
163, 473, 519
164, 470, 522
165, 473, 519
166, 470, 521
167, 473, 519
168, 470, 521
169, 473, 518
170, 470, 521
171, 470, 522
172, 473, 519
173, 470, 522
174, 472, 519
175, 470, 521
176, 473, 518
177, 470, 521
178, 473, 519
179, 470, 521
180, 473, 519
181, 470, 522
182, 473, 519
183, 472, 518
184, 470, 522
185, 473, 519
186, 470, 522
