Iteration,Encryption Time,Decryption Time
0, 745, 797
1, 745, 796
2, 745, 797
3, 742, 797
4, 745, 797
5, 742, 797
6, 745, 797
7, 743, 796
8, 745, 797
9, 742, 797
10, 745, 797
11, 742, 797
12, 745, 797
13, 745, 794
14, 745, 797
15, 745, 796
16, 743, 796
17, 745, 796
18, 742, 797
19, 745, 797
20, 745, 794
21, 745, 797
22, 745, 794
23, 742, 797
24, 745, 796
25, 742, 797
26, 745, 797
27, 745, 794
28, 745, 797
29, 745, 794
30, 745, 796
31, 745, 797
32, 742, 797
33, 745, 797
34, 742, 797
35, 745, 797
36, 745, 794
37, 745, 797
38, 745, 794
39, 742, 797
40, 745, 796
41, 742, 797
42, 745, 797
43, 745, 794
44, 745, 797
45, 745, 794
46, 745, 797
47, 745, 796
48, 742, 797
49, 745, 797
50, 742, 797
51, 745, 797
52, 745, 794
53, 745, 796
54, 745, 797
55, 742, 797
56, 745, 797
57, 743, 796
58, 745, 797
59, 745, 794
60, 745, 797
61, 745, 794
62, 745, 797
63, 745, 796
64, 742, 797
65, 745, 797
66, 742, 796
67, 745, 796
68, 745, 794
69, 745, 796
70, 745, 797
71, 742, 797
72, 745, 796
73, 742, 796
74, 745, 797
75, 745, 794
76, 745, 797
77, 745, 794
78, 745, 797
79, 745, 797
80, 742, 797
81, 745, 797
82, 742, 797
83, 745, 797
84, 745, 794
85, 745, 797
86, 745, 797
87, 742, 797
88, 745, 796
89, 742, 797
90, 745, 796
91, 745, 794
92, 745, 797
93, 745, 794
94, 742, 797
95, 745, 797
96, 742, 797
97, 745, 797
98, 745, 794
99, 745, 797
100, 745, 794
101, 742, 797
102, 745, 797
103, 742, 797
104, 745, 796
105, 745, 794
106, 743, 796
107, 745, 797
108, 742, 797
109, 745, 797
110, 745, 794
111, 742, 797
112, 745, 797
113, 745, 794
114, 745, 797
115, 745, 797
116, 742, 797
117, 745, 797
118, 745, 794
119, 745, 797
120, 745, 797
121, 742, 797
122, 745, 797
123, 745, 794
124, 745, 796
125, 745, 796
126, 742, 797
127, 744, 796
128, 745, 794
129, 745, 797
130, 745, 796
131, 742, 797
132, 745, 797
133, 745, 794
134, 745, 797
135, 745, 797
136, 742, 797
137, 745, 796
138, 745, 794
139, 743, 796
140, 745, 797
141, 742, 797
142, 745, 797
143, 745, 794
144, 742, 797
145, 745, 797
146, 743, 796
147, 745, 796
148, 745, 794
149, 742, 797
150, 745, 797
151, 745, 794
152, 745, 797
153, 745, 797
154, 742, 797
155, 745, 797
156, 745, 794
157, 745, 797
158, 745, 797
159, 742, 797
160, 745, 797
161, 745, 794
162, 745, 797
163, 745, 797
164, 742, 797
165, 745, 797
166, 745, 794
167, 745, 797
168, 745, 796
169, 743, 796
170, 745, 797
171, 745, 794
172, 745, 796
173, 745, 796
174, 743, 796
175, 745, 797
176, 745, 794
177, 742, 797
178, 745, 796
179, 743, 796
180, 745, 797
181, 745, 794
182, 742, 797
183, 745, 797
184, 742, 797
185, 745, 797
186, 745, 794
187, 742, 797
188, 745, 797
189, 745, 794
190, 745, 797
191, 745, 797
192, 742, 797
193, 745, 797
194, 745, 794
195, 745, 797
196, 745, 796
197, 743, 796
198, 745, 797
199, 745, 794
200, 745, 796
201, 745, 796
202, 743, 796
203, 745, 797
204, 745, 794
205, 745, 797
206, 745, 796
207, 742, 797
208, 745, 796
209, 745, 794
210, 745, 797
211, 745, 797
212, 742, 797
213, 745, 797
214, 745, 794
215, 743, 796
216, 745, 797
217, 742, 797
218, 745, 797
219, 745, 794
220, 742, 797
221, 744, 796
222, 742, 797
223, 745, 797
224, 745, 794
225, 742, 797
226, 745, 797
227, 745, 794
228, 745, 796
229, 745, 797
230, 743, 796
231, 745, 797
232, 745, 794
233, 745, 796
234, 745, 797
235, 743, 796
236, 745, 797
237, 745, 794
238, 745, 796
239, 745, 796
240, 743, 796
241, 745, 797
242, 745, 794
243, 745, 797
244, 745, 797
245, 742, 797
246, 745, 796
247, 745, 794
248, 745, 797
249, 745, 797
250, 742, 797
251, 745, 797
252, 745, 794
253, 743, 796
254, 745, 797
255, 742, 797
256, 745, 797
257, 745, 794
258, 742, 797
259, 745, 797
260, 742, 797
261, 745, 797
262, 745, 794
263, 743, 796
264, 745, 796
265, 745, 794
266, 745, 797
267, 745, 796
268, 742, 796
269, 745, 797
270, 745, 794
271, 745, 796
272, 745, 797
273, 742, 797
274, 745, 796
275, 745, 794
276, 745, 796
277, 745, 796
278, 742, 796
279, 745, 797
280, 745, 794
281, 745, 797
282, 745, 797
283, 742, 797
284, 745, 796
285, 745, 794
286, 745, 796
287, 745, 796
288, 742, 797
289, 745, 797
