Iteration,Encryption Time,Decryption Time
0, 462, 512
1, 458, 515
2, 462, 511
3, 462, 511
4, 458, 514
5, 461, 512
6, 459, 514
7, 459, 514
8, 461, 512
9, 459, 514
10, 461, 512
11, 459, 512
12, 459, 514
13, 461, 512
14, 459, 514
15, 461, 512
16, 459, 515
17, 458, 515
18, 461, 512
19, 459, 514
20, 461, 512
21, 458, 515
22, 461, 512
23, 458, 515
24, 459, 514
25, 461, 512
26, 459, 514
27, 461, 512
28, 459, 514
29, 458, 515
30, 461, 512
31, 459, 514
32, 462, 511
33, 458, 515
34, 462, 511
35, 459, 514
36, 459, 514
37, 461, 512
38, 459, 515
39, 461, 512
40, 459, 514
41, 461, 512
42, 461, 512
43, 459, 515
44, 461, 512
45, 459, 515
46, 461, 512
47, 459, 514
48, 459, 514
49, 462, 511
50, 458, 515
51, 462, 512
52, 458, 515
53, 462, 511
54, 462, 511
55, 459, 514
56, 462, 511
57, 459, 514
58, 461, 512
59, 459, 514
60, 459, 514
61, 461, 512
62, 459, 514
63, 461, 512
64, 459, 514
65, 461, 512
66, 461, 512
67, 459, 514
68, 461, 512
69, 459, 514
70, 461, 512
71, 459, 514
72, 459, 514
73, 461, 512
74, 458, 515
75, 461, 512
76, 459, 514
77, 462, 511
78, 461, 512
79, 458, 515
80, 462, 512
81, 459, 514
82, 461, 512
83, 459, 514
84, 458, 515
85, 461, 512
86, 459, 514
87, 461, 512
88, 459, 514
89, 461, 512
90, 459, 511
91, 459, 514
92, 462, 511
93, 459, 514
94, 461, 512
95, 459, 515
96, 459, 514
97, 461, 512
98, 459, 514
99, 461, 512
100, 458, 515
101, 461, 512
102, 458, 515
103, 461, 512
104, 459, 512
105, 458, 515
106, 462, 511
107, 459, 514
108, 461, 512
109, 459, 514
110, 461, 512
111, 458, 515
112, 461, 512
113, 458, 515
114, 461, 512
115, 459, 514
116, 458, 515
117, 461, 512
118, 459, 514
119, 461, 512
120, 459, 514
121, 461, 512
122, 458, 515
123, 461, 512
124, 459, 514
125, 461, 512
126, 459, 514
127, 461, 511
128, 459, 514
129, 458, 514
130, 461, 512
131, 459, 515
132, 461, 512
133, 459, 514
134, 462, 511
135, 458, 514
136, 461, 512
137, 458, 514
138, 462, 511
139, 459, 514
140, 461, 512
141, 458, 512
142, 459, 514
143, 461, 512
144, 458, 515
145, 461, 512
146, 459, 514
147, 461, 512
148, 459, 514
149, 461, 512
150, 459, 514
151, 462, 511
152, 458, 515
153, 459, 514
154, 461, 512
155, 459, 514
156, 461, 512
157, 459, 514
158, 461, 512
159, 459, 514
160, 462, 511
161, 458, 514
162, 461, 512
163, 458, 515
164, 461, 512
165, 459, 514
166, 459, 514
167, 462, 511
168, 459, 514
169, 461, 512
170, 459, 514
171, 462, 511
172, 458, 515
173, 461, 512
174, 458, 515
175, 461, 512
176, 458, 515
