Iteration,Encryption Time,Decryption Time
0, 3931, 3934
1, 3931, 3934
2, 3931, 3934
3, 3931, 3934
4, 3930, 3933
5, 3931, 3933
6, 3930, 3934
7, 3930, 3934
8, 3931, 3934
9, 3931, 3934
10, 3931, 3934
11, 3930, 3934
12, 3931, 3934
13, 3930, 3934
14, 3931, 3934
15, 3931, 3934
16, 3931, 3934
17, 3931, 3934
18, 3931, 3934
19, 3931, 3934
20, 3931, 3933
21, 3931, 3934
22, 3931, 3931
23, 3930, 3930
24, 3930, 3931
25, 3931, 3935
26, 3928, 3933
27, 3928, 3935
28, 3928, 3934
29, 3931, 3934
30, 3931, 3934
31, 3931, 3934
32, 3931, 3934
33, 3931, 3934
34, 3931, 3934
35, 3931, 3933
36, 3931, 3934
37, 3931, 3934
38, 3930, 3934
39, 3931, 3934
40, 3931, 3934
41, 3931, 3934
42, 3931, 3934
43, 3931, 3934
44, 3930, 3934
45, 3931, 3933
46, 3931, 3934
47, 3931, 3934
48, 3931, 3933
49, 3931, 3934
50, 3930, 3933
51, 3931, 3934
52, 3931, 3934
53, 3930, 3934
54, 3931, 3935
55, 3931, 3935
56, 3931, 3934
57, 3930, 3934
58, 3931, 3933
59, 3931, 3933
60, 3931, 3934
61, 3930, 3934
62, 3931, 3934
63, 3931, 3934
64, 3931, 3934
65, 3930, 3934
66, 3931, 3934
67, 3931, 3934
68, 3931, 3934
69, 3931, 3934
70, 3931, 3934
71, 3931, 3935
72, 3931, 3934
73, 3931, 3934
74, 3930, 3931
75, 3931, 3931
76, 3931, 3931
77, 3931, 3934
78, 3928, 3935
79, 3928, 3934
80, 3927, 3934
81, 3928, 3934
82, 3931, 3934
83, 3930, 3934
84, 3931, 3934
85, 3931, 3934
86, 3931, 3933
87, 3930, 3934
88, 3931, 3934
89, 3931, 3934
90, 3931, 3934
91, 3931, 3934
92, 3931, 3935
93, 3931, 3934
94, 3931, 3934
95, 3931, 3934
96, 3931, 3934
97, 3931, 3934
98, 3931, 3934
99, 3931, 3934
100, 3931, 3934
101, 3931, 3934
102, 3930, 3934
103, 3930, 3933
104, 3931, 3934
105, 3931, 3934
106, 3931, 3934
107, 3931, 3934
108, 3931, 3934
109, 3931, 3934
110, 3930, 3933
111, 3930, 3934
112, 3931, 3934
113, 3931, 3934
114, 3930, 3934
115, 3931, 3934
116, 3928, 3934
117, 3928, 3934
118, 3928, 3935
119, 3928, 3933
120, 3931, 3931
121, 3931, 3931
