Iteration,Encryption Time,Decryption Time
0, 437, 482
1, 433, 485
2, 434, 485
3, 436, 483
4, 433, 485
5, 434, 485
6, 436, 483
7, 436, 482
8, 434, 485
9, 434, 485
10, 436, 482
11, 433, 483
12, 433, 485
13, 437, 482
14, 436, 482
15, 433, 485
16, 436, 483
17, 436, 482
18, 433, 485
19, 434, 485
20, 437, 482
21, 434, 485
22, 434, 485
23, 436, 482
24, 433, 485
25, 433, 485
26, 436, 483
27, 433, 483
28, 434, 484
29, 436, 482
30, 437, 482
31, 433, 485
32, 437, 482
33, 437, 482
34, 434, 485
35, 434, 485
36, 436, 482
37, 434, 484
38, 434, 485
39, 437, 482
40, 433, 485
41, 434, 485
42, 436, 482
43, 434, 482
44, 434, 485
45, 436, 482
46, 436, 482
47, 433, 484
48, 436, 482
49, 437, 482
50, 433, 485
51, 437, 482
52, 436, 482
53, 434, 485
54, 434, 485
55, 436, 482
56, 433, 485
57, 434, 485
58, 436, 483
59, 434, 482
60, 434, 485
61, 436, 482
62, 433, 482
63, 434, 485
64, 437, 482
65, 437, 482
66, 434, 485
67, 436, 482
68, 437, 482
69, 433, 485
70, 434, 485
71, 436, 482
72, 434, 485
73, 433, 485
74, 436, 483
75, 434, 485
76, 434, 485
77, 437, 482
78, 433, 482
79, 434, 485
80, 436, 482
81, 436, 483
82, 434, 485
83, 437, 482
84, 436, 482
85, 434, 485
86, 434, 485
87, 437, 482
88, 433, 485
89, 433, 485
90, 436, 482
91, 434, 485
92, 434, 485
93, 437, 482
94, 433, 482
95, 434, 485
96, 437, 482
97, 437, 482
98, 434, 484
99, 436, 482
100, 436, 483
101, 434, 485
102, 437, 482
103, 437, 482
104, 433, 485
105, 436, 482
106, 433, 482
107, 433, 485
108, 436, 482
109, 433, 485
110, 433, 485
111, 436, 482
112, 434, 485
113, 434, 484
114, 436, 483
115, 433, 485
116, 437, 482
117, 436, 483
118, 434, 485
119, 436, 482
120, 433, 482
121, 433, 485
122, 436, 482
123, 434, 485
124, 433, 485
125, 436, 482
126, 433, 485
127, 434, 484
128, 437, 482
129, 433, 485
130, 436, 482
131, 436, 482
132, 433, 485
133, 436, 482
134, 433, 483
135, 434, 485
136, 436, 482
137, 433, 482
138, 433, 484
139, 436, 483
140, 433, 485
141, 434, 485
142, 436, 482
143, 434, 485
144, 434, 485
145, 437, 482
146, 434, 485
147, 436, 482
148, 436, 483
149, 433, 485
150, 436, 483
151, 434, 482
152, 433, 485
153, 436, 482
154, 434, 485
