Iteration,Encryption Time,Decryption Time
0, 335, 386
1, 335, 386
2, 335, 386
3, 335, 386
4, 334, 386
5, 335, 388
6, 334, 389
7, 334, 389
8, 334, 389
9, 334, 389
10, 334, 389
11, 337, 386
12, 337, 386
13, 336, 386
14, 334, 386
15, 334, 386
16, 334, 386
17, 334, 389
18, 334, 389
19, 335, 388
20, 337, 386
21, 337, 386
22, 337, 386
23, 335, 386
24, 334, 386
25, 334, 386
26, 334, 388
27, 335, 388
28, 335, 388
29, 335, 388
30, 337, 386
31, 337, 386
32, 337, 386
33, 334, 386
34, 334, 386
35, 334, 386
36, 334, 389
37, 335, 388
38, 334, 389
39, 337, 386
40, 337, 386
41, 337, 386
42, 334, 386
43, 334, 386
44, 334, 386
45, 334, 389
46, 334, 389
47, 334, 389
48, 334, 389
49, 337, 386
50, 337, 386
51, 337, 386
52, 334, 386
53, 335, 386
54, 335, 386
55, 334, 389
56, 335, 388
57, 335, 388
58, 337, 386
59, 337, 386
60, 337, 386
61, 334, 386
62, 334, 386
63, 334, 386
64, 334, 389
65, 335, 388
66, 335, 388
67, 335, 388
68, 337, 386
69, 337, 386
70, 337, 386
71, 334, 386
72, 335, 386
73, 335, 386
74, 334, 389
75, 335, 388
76, 334, 388
77, 337, 386
78, 337, 386
79, 337, 386
80, 337, 386
81, 334, 386
82, 334, 386
83, 335, 388
84, 335, 388
85, 334, 389
86, 334, 388
87, 337, 386
88, 337, 386
89, 337, 386
90, 334, 386
91, 334, 386
92, 334, 386
93, 334, 389
94, 334, 389
95, 335, 388
96, 337, 386
97, 337, 386
98, 337, 386
99, 337, 386
100, 334, 386
101, 334, 386
102, 334, 389
103, 334, 389
104, 337, 386
105, 337, 386
106, 337, 386
107, 334, 386
108, 334, 389
109, 334, 389
110, 335, 388
111, 337, 386
112, 337, 386
113, 335, 386
114, 334, 386
115, 334, 389
116, 334, 389
117, 334, 389
118, 337, 386
119, 337, 386
120, 334, 386
121, 335, 386
122, 334, 389
123, 335, 388
124, 334, 389
125, 337, 386
126, 337, 386
127, 335, 386
128, 334, 386
129, 334, 388
130, 334, 389
131, 335, 388
132, 337, 386
133, 337, 386
134, 334, 386
135, 334, 386
136, 334, 389
137, 335, 388
138, 337, 386
139, 337, 386
140, 337, 386
141, 334, 386
142, 334, 386
143, 334, 389
144, 335, 388
145, 337, 386
146, 337, 386
147, 334, 386
148, 334, 386
149, 334, 389
150, 335, 388
151, 334, 389
152, 337, 386
153, 337, 386
154, 334, 386
155, 334, 386
156, 334, 389
157, 334, 389
158, 334, 389
159, 337, 386
160, 337, 386
161, 334, 386
162, 334, 386
163, 334, 388
164, 334, 388
165, 335, 388
166, 337, 386
167, 337, 386
168, 334, 386
169, 334, 386
170, 335, 388
171, 334, 389
172, 337, 386
173, 337, 386
174, 336, 386
175, 334, 386
176, 335, 386
177, 334, 389
178, 334, 388
179, 337, 385
180, 337, 386
181, 337, 386
182, 334, 386
183, 335, 388
184, 334, 389
185, 334, 389
186, 337, 386
187, 337, 386
188, 334, 386
189, 335, 386
190, 334, 388
191, 334, 389
192, 334, 389
193, 337, 386
194, 337, 386
195, 334, 386
196, 335, 386
197, 335, 388
198, 334, 389
199, 334, 389
200, 337, 386
201, 337, 386
202, 334, 386
203, 334, 386
204, 334, 389
205, 334, 389
206, 337, 386
207, 337, 386
208, 337, 386
209, 334, 386
210, 334, 386
211, 334, 389
212, 335, 388
213, 337, 386
214, 337, 386
215, 337, 386
216, 334, 386
217, 334, 389
218, 335, 388
219, 334, 389
220, 337, 386
221, 337, 386
222, 334, 386
223, 334, 386
224, 334, 389
225, 334, 389
226, 335, 388
227, 337, 386
228, 337, 386
229, 334, 386
230, 334, 386
231, 334, 389
232, 334, 389
233, 334, 389
234, 336, 386
235, 337, 386
236, 334, 386
237, 335, 386
238, 334, 389
239, 334, 389
240, 334, 389
241, 337, 386
242, 337, 386
243, 334, 386
244, 334, 386
245, 334, 389
246, 334, 388
247, 336, 386
248, 337, 385
249, 336, 386
250, 334, 386
251, 334, 386
252, 334, 389
253, 335, 388
254, 336, 386
255, 336, 386
256, 334, 386
257, 334, 386
258, 334, 389
259, 334, 389
260, 334, 389
261, 337, 386
262, 337, 386
263, 334, 386
264, 334, 386
265, 334, 388
266, 334, 389
267, 335, 388
268, 337, 386
269, 337, 386
270, 334, 386
271, 335, 386
272, 335, 388
273, 334, 389
274, 334, 389
275, 337, 386
276, 337, 386
277, 335, 386
278, 335, 386
279, 335, 388
280, 334, 389
281, 337, 386
282, 337, 386
283, 337, 386
284, 334, 386
285, 334, 386
286, 334, 389
287, 334, 389
288, 337, 385
289, 337, 386
290, 334, 386
291, 334, 386
292, 335, 388
293, 334, 389
294, 334, 389
295, 337, 385
296, 337, 386
297, 335, 386
298, 334, 386
299, 334, 389
300, 334, 389
301, 334, 389
302, 337, 386
303, 337, 386
304, 334, 386
305, 335, 386
306, 334, 389
307, 334, 389
308, 334, 389
309, 337, 386
310, 337, 386
311, 334, 386
312, 335, 386
313, 334, 388
314, 335, 388
315, 337, 386
316, 337, 386
317, 337, 386
318, 334, 386
319, 334, 386
320, 334, 388
321, 335, 388
322, 337, 386
323, 337, 386
324, 337, 386
325, 334, 386
326, 334, 388
327, 334, 389
328, 334, 389
329, 337, 386
330, 337, 386
331, 334, 386
332, 334, 386
333, 335, 388
334, 335, 388
335, 334, 389
336, 337, 386
337, 337, 386
338, 334, 386
339, 334, 386
340, 334, 389
341, 334, 389
342, 334, 389
343, 337, 386
344, 337, 386
345, 334, 386
346, 334, 386
347, 334, 389
348, 334, 389
349, 337, 386
350, 337, 386
351, 337, 386
352, 334, 386
353, 334, 386
354, 335, 388
355, 334, 389
356, 337, 386
357, 337, 386
358, 337, 386
359, 334, 386
360, 334, 389
361, 334, 389
362, 334, 389
363, 337, 386
364, 337, 386
365, 335, 386
366, 334, 386
367, 334, 389
368, 334, 389
369, 334, 389
370, 337, 386
371, 337, 386
372, 335, 386
373, 335, 386
374, 334, 389
375, 334, 389
376, 334, 388
377, 337, 386
378, 337, 386
379, 334, 386
380, 334, 386
381, 334, 389
382, 334, 389
383, 334, 389
384, 336, 386
385, 337, 386
386, 335, 386
387, 335, 386
388, 334, 389
389, 335, 388
390, 337, 386
391, 337, 386
392, 337, 386
393, 334, 386
394, 334, 386
395, 334, 389
396, 334, 389
397, 337, 386
398, 337, 386
399, 334, 386
400, 335, 386
401, 334, 389
402, 335, 388
403, 334, 389
404, 337, 386
405, 337, 386
406, 334, 386
407, 334, 386
408, 334, 389
409, 334, 389
410, 334, 389
411, 337, 386
412, 337, 386
413, 335, 386
414, 334, 386
415, 335, 388
416, 334, 389
417, 334, 389
418, 337, 386
419, 337, 386
420, 334, 386
421, 334, 386
422, 334, 389
423, 335, 388
424, 337, 386
425, 337, 386
426, 337, 386
427, 334, 386
428, 335, 386
429, 334, 389
430, 334, 388
431, 337, 386
432, 337, 386
433, 337, 386
434, 335, 386
435, 335, 388
436, 334, 389
437, 334, 389
438, 337, 386
439, 337, 386
440, 334, 386
441, 334, 386
442, 335, 388
443, 334, 389
444, 335, 388
445, 337, 386
446, 337, 386
447, 335, 386
448, 335, 386
449, 335, 388
450, 335, 388
451, 334, 389
452, 337, 385
453, 337, 386
454, 334, 386
455, 334, 386
456, 334, 389
457, 334, 389
458, 337, 386
459, 337, 386
460, 337, 386
461, 334, 386
462, 334, 386
463, 334, 388
464, 334, 389
465, 337, 386
466, 337, 386
467, 337, 386
468, 334, 386
469, 334, 389
470, 334, 389
471, 334, 389
472, 337, 386
473, 337, 386
474, 335, 386
475, 334, 386
476, 335, 388
477, 334, 389
478, 334, 389
479, 337, 386
480, 337, 386
481, 334, 386
482, 334, 386
483, 334, 389
484, 334, 389
485, 335, 388
486, 337, 386
487, 337, 386
488, 334, 386
489, 334, 386
490, 334, 389
491, 334, 389
492, 335, 386
493, 336, 386
494, 337, 386
495, 334, 386
496, 334, 386
497, 334, 389
498, 334, 389
499, 337, 386
500, 337, 386
501, 337, 386
502, 334, 386
503, 335, 388
504, 334, 389
505, 334, 389
506, 337, 385
507, 337, 386
508, 334, 386
509, 334, 386
510, 335, 388
511, 334, 389
512, 334, 389
513, 337, 386
514, 337, 386
515, 334, 386
516, 334, 386
517, 334, 389
518, 334, 389
519, 334, 389
520, 337, 386
521, 337, 386
522, 335, 386
523, 334, 386
524, 335, 388
525, 334, 389
526, 334, 389
527, 337, 386
528, 336, 386
529, 334, 386
530, 334, 386
531, 334, 389
532, 334, 389
533, 337, 386
534, 337, 386
535, 337, 386
536, 334, 386
537, 334, 386
538, 334, 389
539, 334, 389
540, 337, 386
541, 336, 386
542, 334, 386
543, 334, 386
544, 334, 389
545, 334, 389
546, 334, 389
547, 337, 386
548, 337, 386
549, 335, 386
550, 335, 386
551, 335, 388
552, 334, 389
553, 334, 389
554, 337, 386
555, 337, 386
556, 334, 386
557, 335, 386
558, 335, 388
559, 334, 388
560, 334, 389
561, 336, 386
562, 337, 386
563, 334, 386
564, 334, 386
565, 334, 389
566, 334, 389
567, 337, 386
568, 337, 386
569, 337, 386
570, 334, 386
571, 334, 386
572, 335, 388
573, 334, 389
574, 337, 386
575, 337, 386
576, 337, 386
577, 335, 386
578, 335, 388
579, 334, 389
580, 335, 388
581, 337, 386
582, 337, 386
583, 334, 386
584, 334, 386
585, 334, 389
586, 334, 389
587, 334, 389
588, 337, 386
589, 337, 386
590, 334, 386
591, 334, 386
592, 335, 388
593, 334, 389
594, 334, 389
595, 337, 386
596, 337, 386
597, 334, 386
598, 335, 386
599, 334, 389
600, 334, 389
601, 337, 386
602, 337, 386
603, 337, 386
604, 334, 386
605, 334, 386
606, 335, 388
607, 334, 388
608, 337, 386
609, 337, 386
610, 337, 386
611, 334, 386
612, 334, 389
613, 334, 389
614, 334, 389
615, 337, 386
616, 337, 386
617, 334, 386
618, 335, 386
619, 334, 389
620, 334, 389
621, 334, 389
622, 337, 386
623, 336, 386
624, 334, 386
625, 334, 386
626, 334, 389
627, 335, 388
628, 334, 389
629, 337, 386
630, 337, 386
631, 334, 386
632, 334, 386
633, 335, 388
634, 334, 388
635, 334, 389
636, 337, 386
637, 337, 386
638, 334, 386
639, 335, 386
640, 335, 388
641, 334, 389
642, 337, 386
643, 337, 386
644, 337, 386
645, 334, 386
646, 335, 388
647, 334, 389
648, 334, 389
649, 337, 386
650, 337, 386
651, 335, 386
652, 335, 386
653, 335, 388
654, 334, 389
655, 334, 389
656, 337, 386
657, 337, 386
658, 334, 386
659, 334, 386
660, 334, 389
661, 334, 389
662, 334, 388
663, 337, 386
664, 337, 386
665, 334, 386
666, 334, 386
667, 334, 389
668, 334, 389
669, 334, 389
670, 336, 386
671, 337, 386
672, 334, 386
673, 334, 386
674, 334, 389
675, 334, 389
676, 337, 386
677, 337, 386
678, 337, 386
679, 335, 386
680, 334, 386
681, 334, 389
682, 334, 389
683, 337, 386
684, 337, 386
685, 334, 386
686, 334, 386
687, 334, 389
688, 334, 389
