Iteration,Encryption Time,Decryption Time
0, 441, 492
1, 439, 492
2, 438, 494
3, 442, 492
4, 441, 493
5, 439, 495
6, 439, 494
7, 442, 492
8, 442, 492
9, 439, 495
10, 439, 495
11, 442, 492
12, 439, 495
13, 439, 495
14, 441, 493
15, 439, 492
16, 439, 495
17, 442, 492
18, 442, 492
19, 439, 495
20, 441, 492
21, 441, 492
22, 439, 495
23, 439, 495
24, 442, 492
25, 439, 495
26, 439, 495
27, 442, 492
28, 439, 495
29, 439, 495
30, 442, 492
31, 439, 492
32, 439, 495
33, 441, 492
34, 439, 492
35, 439, 495
36, 441, 492
37, 441, 492
38, 439, 495
39, 442, 492
40, 441, 492
41, 439, 495
42, 439, 495
43, 442, 492
44, 439, 494
45, 439, 495
46, 442, 492
47, 439, 495
48, 439, 494
49, 441, 492
50, 439, 492
51, 439, 495
52, 441, 492
53, 442, 492
54, 439, 495
55, 441, 492
56, 442, 492
57, 439, 495
58, 439, 495
59, 441, 493
60, 439, 495
61, 439, 494
62, 441, 492
63, 438, 494
64, 439, 495
65, 442, 492
66, 439, 492
67, 439, 495
68, 441, 492
69, 441, 492
70, 439, 495
71, 442, 492
72, 441, 492
73, 439, 494
74, 438, 494
75, 442, 492
76, 439, 495
77, 439, 495
78, 441, 493
79, 439, 495
80, 439, 495
81, 441, 492
82, 439, 492
83, 439, 495
84, 441, 492
85, 441, 492
86, 439, 495
87, 441, 492
88, 442, 492
89, 439, 495
90, 439, 495
91, 442, 492
92, 439, 495
93, 439, 495
94, 441, 492
95, 438, 495
96, 439, 495
97, 442, 492
98, 439, 493
99, 439, 495
100, 442, 492
101, 439, 492
102, 439, 494
103, 441, 493
104, 439, 495
105, 439, 495
106, 442, 492
107, 439, 495
108, 439, 494
109, 442, 492
110, 439, 495
111, 442, 492
112, 441, 492
113, 439, 495
114, 442, 492
115, 439, 492
116, 439, 495
117, 442, 492
118, 439, 495
119, 439, 495
120, 442, 492
121, 439, 495
122, 439, 495
123, 441, 492
124, 439, 495
125, 441, 492
126, 442, 492
127, 439, 494
128, 441, 492
129, 442, 492
130, 439, 495
131, 441, 492
132, 439, 492
133, 439, 495
134, 442, 492
135, 439, 495
136, 439, 495
137, 442, 492
138, 439, 495
139, 439, 495
140, 441, 493
141, 439, 495
142, 441, 492
143, 441, 492
144, 439, 495
145, 442, 492
146, 439, 492
147, 439, 495
148, 442, 492
149, 439, 495
150, 438, 494
151, 442, 492
152, 439, 495
153, 439, 495
154, 442, 492
155, 439, 495
156, 442, 492
157, 442, 492
158, 439, 495
159, 442, 492
160, 438, 492
161, 439, 495
162, 441, 492
163, 439, 495
164, 439, 495
165, 442, 492
166, 439, 495
167, 439, 495
168, 442, 492
169, 439, 495
170, 439, 495
171, 441, 492
172, 439, 495
173, 441, 492
174, 441, 493
175, 439, 495
176, 442, 492
177, 439, 492
178, 439, 494
179, 442, 492
180, 439, 495
181, 439, 494
