Iteration,Encryption Time,Decryption Time
0, 3552, 3556
1, 3553, 3559
2, 3556, 3560
3, 3556, 3559
4, 3556, 3559
5, 3557, 3557
6, 3554, 3556
7, 3554, 3556
8, 3554, 3559
9, 3556, 3560
10, 3556, 3560
11, 3557, 3559
12, 3554, 3557
13, 3554, 3557
14, 3557, 3560
15, 3557, 3560
16, 3555, 3559
17, 3553, 3556
18, 3553, 3556
19, 3553, 3559
20, 3556, 3559
21, 3556, 3559
22, 3556, 3556
23, 3554, 3557
24, 3553, 3556
25, 3556, 3560
26, 3556, 3559
27, 3556, 3559
28, 3554, 3557
29, 3554, 3557
30, 3557, 3560
31, 3556, 3559
32, 3556, 3559
33, 3554, 3556
34, 3553, 3557
35, 3556, 3559
36, 3557, 3560
37, 3556, 3559
38, 3553, 3556
39, 3554, 3557
40, 3554, 3559
41, 3556, 3559
42, 3557, 3560
43, 3556, 3556
44, 3554, 3557
45, 3554, 3557
46, 3556, 3559
47, 3555, 3559
48, 3556, 3560
49, 3553, 3556
50, 3554, 3557
51, 3557, 3559
52, 3557, 3559
53, 3556, 3560
54, 3554, 3557
55, 3553, 3556
56, 3554, 3559
57, 3556, 3559
58, 3556, 3559
59, 3556, 3557
60, 3553, 3557
61, 3554, 3557
62, 3556, 3559
63, 3556, 3559
64, 3556, 3559
65, 3554, 3557
66, 3554, 3557
67, 3557, 3560
68, 3556, 3559
69, 3557, 3560
70, 3554, 3556
71, 3553, 3556
72, 3555, 3558
73, 3556, 3559
74, 3555, 3559
75, 3553, 3556
76, 3554, 3557
77, 3554, 3560
78, 3556, 3559
79, 3556, 3559
80, 3556, 3557
81, 3554, 3557
82, 3553, 3557
83, 3556, 3559
84, 3556, 3559
85, 3557, 3560
86, 3553, 3557
87, 3552, 3556
88, 3556, 3559
89, 3556, 3560
90, 3556, 3560
91, 3554, 3557
92, 3553, 3556
93, 3552, 3558
94, 3556, 3559
95, 3557, 3560
96, 3556, 3556
97, 3554, 3557
98, 3554, 3557
99, 3556, 3559
100, 3556, 3559
101, 3556, 3557
102, 3553, 3556
103, 3554, 3559
104, 3557, 3560
105, 3556, 3559
106, 3553, 3556
107, 3554, 3557
108, 3556, 3559
109, 3556, 3560
110, 3554, 3557
111, 3554, 3557
112, 3556, 3560
113, 3556, 3559
114, 3556, 3556
115, 3554, 3557
116, 3554, 3559
117, 3556, 3558
118, 3556, 3559
119, 3553, 3557
120, 3554, 3557
121, 3556, 3559
122, 3556, 3560
123, 3554, 3557
